season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2009/10,58621,40,40,7,180,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2010/11,58621,40,40,51,1341,1,3,2,20,0,0,0,3,0,1,5,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2011/12,58621,55,65,140,3227,2,1,14,32,0,0,0,4,0,0,8,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2012/13,58621,65,61,114,3157,0,6,8,42,0,0,0,5,0,0,9,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2013/14,58621,60,59,103,2297,1,4,9,36,0,0,0,5,0,0,15,155,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,58621,60,58,27,1306,0,1,1,24,0,0,0,3,0,0,1,218,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,58621,50,51,121,2941,1,3,12,28,1,0,0,7,0,0,8,706,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,58621,55,62,142,2701,0,6,14,21,0,0,0,8,0,0,18,640,564.0,570.5,264.0,140.2,0,0.00,0.00,0.00,0.00
2017/18,58621,65,66,138,2784,0,6,15,22,1,0,0,2,1,0,8,691,542.4,511.4,117.0,117.1,0,0.00,0.00,0.00,0.00
2018/19,58621,65,64,150,2776,1,1,18,17,0,0,0,3,0,0,11,684,498.8,448.4,183.0,113.1,0,0.00,0.00,0.00,0.00
2019/20,58621,60,57,114,2392,1,4,12,24,0,0,0,5,0,0,7,573,435.6,394.4,169.0,100.1,0,0.00,0.00,0.00,0.00
2020/21,58621,60,61,91,1944,1,1,9,20,0,0,0,1,0,0,7,410,332.2,200.9,88.0,62.1,0,0.00,0.00,0.00,0.00
2021/22,58621,55,54,85,1755,0,2,10,14,0,0,0,1,0,0,5,403,274.2,247.8,110.0,63.2,0,0.00,0.00,0.00,0.00
2022/23,58621,50,47,69,1953,0,0,7,20,0,0,0,3,0,0,0,376,236.8,199.4,42.0,47.7,22,0.39,1.32,1.71,20.07
2023/24,58621,50,55,123,2766,0,5,10,29,0,0,0,2,0,0,13,633,465.4,534.1,126.0,112.6,30,0.40,3.20,3.60,28.61
