season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2007/08,40383,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2008/09,40383,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2011/12,40383,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2014/15,40383,50,53,118,2623,0,0,13,21,0,0,0,1,0,61,0,442,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2015/16,40383,50,49,68,1620,0,0,6,17,0,0,0,0,0,52,3,310,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2016/17,40383,50,50,134,3420,0,0,14,48,0,1,0,3,0,76,4,625,553.6,10.0,0.0,56.4,0,0.00,0.00,0.00,0.00
2017/18,40383,50,46,73,1800,0,0,4,30,0,1,0,0,0,69,6,351,488.2,0.0,0.0,48.9,0,0.00,0.00,0.00,0.00
2018/19,40383,45,42,2,90,0,0,0,3,0,0,0,0,0,3,0,13,22.2,0.0,0.0,2.2,0,0.00,0.00,0.00,0.00
2019/20,40383,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
2020/21,40383,40,40,30,720,0,0,2,11,0,1,0,0,0,20,0,147,191.0,0.0,0.0,19.1,0,0.00,0.00,0.00,0.00
2021/22,40383,45,44,57,1710,0,0,3,35,0,0,0,1,0,68,6,330,559.8,0.0,0.0,56.2,0,0.00,0.00,0.00,0.00
2022/23,40383,40,39,40,1215,0,0,3,24,0,1,0,1,0,32,1,222,267.8,0.0,0.0,26.9,13,0.00,0.00,0.00,19.21
2023/24,40383,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
